"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras";"Ano Abertura";"Estab.Saudável&Seguro";"Aloja Estudantes 2020/21 - Medidas Covid-19"
"Empreendimento de Turismo de Habitação";"8868";"Solar da Luz";"Solar da Luz";;"Classificado em auditoria";"19";"12";"0";"Lugar da Luz - Santa Comba de Fornelos";"4820-417";"Fornelos Faf";"Fafe";"Braga";"253639280";;"joaquim.oliveira@pocargil.pt";;"Turismo do Porto e Norte de Portugal";"Norte";"Ave";;"Não";"Local";"0";"Sim";"40";"Não";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"ANABELA VIEIRA IMOBILIARIA S A";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8853(Em análise pelo Turismo de Portugal, I.P.)";"Monte da Estalagem - Venda do Duque Vimieiro";;;"Classificado em projeto";"10";"5";"0";"Venda do Duque - Vimieiro";"7040-602";"Vimieiro Arl";"Arraiolos";"Évora";"922019423";;"empresas.manuelescada@gmail.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"José Vicente Espanhol de Carvalho";;"2002";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Hotel Rural";"8851";"Alandroal Guest House - Hotel de Charme";;"***";"Classificado em projeto";"26";"13";"0";"Rua 5 de Outubro, nº 4";"7250-119";"Alandroal";"Alandroal";"Évora";"918899936";;"feelalentejo@hotmail.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"FEELALENTEJO LDA";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Hotel Rural";"8848";"Vila Monte Farm House";"Vila Monte Farm House";"*****";"Classificado em auditoria";"88";"44";"1";"Monte dos Caliços, Moncarapacho";"8700-069";"Moncarapacho";"Olhão";"Faro";"289790790";;"info@vilamonte.com";"www.vilamonte.com";"Região de Turismo do Algarve";"Algarve";"Algarve";"2020-03-22->2020-05-31 Ano em causa:2020, 2020-12-01->2020-12-31 Ano em causa:2020, ";"Não";"---";"3";"Sim";"18";"Não";"Sim";"Não";"Sim";"Sim";"Não";"Sim";;;"VILAMONTE - DESENVOLVIMENTO DE EXPLORA??O TURISTI";;;"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"8846";"Herdade da Maridona";"Herdade da Maridona";;"Classificado em auditoria";"18";"7";"1";"Herdade da Maridona";"7100-042";"Glória";"Estremoz";"Évora";"964713002";;"herdadedamaridona@gmail.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"RETALHOS SERENOS - UNIPESSOAL LDA";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8845";"LapaNatura";"Casa da Lapa";;"Classificado em auditoria";"10";"5";"0";"Avenida Padre Francisco Pinto Ferreira";"3640-170";"Quintela";"Sernancelhe";"Viseu";"913006509";;"lapanatura@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"LapaNatura Unipessoal, Lda";;"2010";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8838";"Bella Vita Villa";"Bella Vita Villa";;"Classificado em auditoria";"6";"3";"0";"Caminho da Raposeira do Lugarinho nº40";"9370-331";"Fajã da Ovelha";"Calheta";"Ilha da Madeira";"966123814";;"bellavita.madeira@gmail.com";;"Secretaria Regional da Economia, Turismo e Cultura da Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Supremerelax Lda.";"Outra, ";"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8837";"Hospedaria";"Hospedaria";;"Classificado em auditoria";"10";"5";"1";"Alvisquer";"8800-072";"Conceição Tvr";"Tavira";"Faro";"917782189";;"ruiliberatosousa@gmail.com";"www.hospedaria.com.pt";"Região de Turismo do Algarve";"Algarve";"Algarve";"2020-10-01->2020-12-31 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"RUI PEDRO LIBERATO DE SOUSA";"Outra, ";"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"8835";"Madalena Beautique Hotel";"The Beautique Hotels";"****";"Classificado em auditoria";"76";"38";"1";"Rua da Madalena, 265-281";"1100-320";"Lisboa";"Lisboa";"Lisboa";"210537006";;"moez@rmar.pt";"www.thebeautiquehotels.com";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"2020-03-18->2020-07-29 Ano em causa:2020, 2020-10-05->2020-10-31 Ano em causa:2020, ";"Sim";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"RODRIGUES, COSTA & MARTINS, S.A.";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8832";"The Bakery Guesthouse";"The Bakery Guesthouse";;"Classificado em projeto";"10";"5";"1";"Largo do Cavacal 11";"6230-180";"Fatela";"Fundão";"Castelo Branco";"930413161";;"an7ferreira@gmail.com";"https://www.airbnb.pt/rooms/10657014?s=67&shared_i";"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ANDRE DE ALMEIDA DIOGO TORRES FERREIRA";"IAPMEI, ";"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8831";"Quinta do Mocho";"Quimeras e Condados";;"Classificado em auditoria";"12";"6";"1";"Vale Gralhas Estoi cx 112-R";"8000-072";"Faro";"Faro";"Faro";"289013021";;"Info@quintadomocho.com";"www.quintadomocho.com";"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Sim";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Quimeras e condados unipessoal lda";"Turismo de Portugal, I.P., ";"2000";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8830";"Holiday Inn Express Lisbon - Plaza Saldanha";"Holiday Inn Express";"***";"Classificado em auditoria";"216";"108";"1";"Avenida João Crisóstomo, n.º 40, 40-A e 40-B";"1050-162";"Lisboa";"Lisboa";"Lisboa";"211515900";"211515909";"hielisbonsaldanha@newpalm.pt";"https://www.hielisboasaldanha.pt";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"2020-10-05->2020-12-31 Ano em causa:2020, ";"Sim";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;"Certificação Energética";"NEWPALM - GEST?O EXPLORA??O E CONSULTORIA S A";;"2019";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"8828(Em análise pelo Turismo de Portugal, I.P.)";"Parque de Campismo Baía Azul";;"***";"Classificado em auditoria";"3300";"0";"0";"Rua Professor Eliseu, 2";"2460-096";"São Martinho do Porto";"Alcobaça";"Leiria";"262989847";;"parquecampismo@freguesiasaomartinhodoporto.pt";"www.freguesiasaomartinhodoporto.pt";"Turismo do Centro de Portugal";"Centro";"Oeste";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"FREGUESIA DE S?O MARTINHO DO PORTO";;;"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8826";"As Casas do Algarve";;;"Classificado em auditoria";"16";"8";"1";"Vale do Mouro";"8005-538";"Faro";"Faro";"Faro";"0033619626709";;"ascasasdoalgarve@gmail.com";;"Região de Turismo do Algarve";"Algarve";"Algarve";"2020-01-23->2020-06-23 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Portada & Cheniti, Lda.";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"8825";"BessaHotel Baixa";"BessaHotel";"****";"Classificado em auditoria";"188";"94";"1";"Rua Dr. Alves da Veiga nº 155";"4000-074";"Porto";"Porto";"Porto";"222468800";;"infobaixa@bessahotel.com";"www.bessahotel.com";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";"2020-01-24->2020-02-10 Ano em causa:2020, ";"Não";"---";"1";"Sim";"120";"Não";"Não";"Sim";"Não";"Não";"Não";"Não";;;"TURISBESSA, LDA";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"8820";"Casa da Quinta de Santa Cruz";"Casa da Quinta de Santa Cruz";;"Classificado em projeto";"15";"6";"3";"Rua do Outeiro, 366";"5050-310";"Loureiro Prg";"Peso da Régua";"Vila Real";"932505048";;"fmagalhaes@dourolandia.pt";"www.quintadesantacruz.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Douro";;"Não";"---";"0";"Sim";"12";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"DOUROLANDIA - GEST?O E PRESTA??O DE SERVI?OS IMOB";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"8815";"Authentic Tavira Hotel";;"**";"Classificado em auditoria";"24";"12";"1";"Rua José Joaquim Jara 82";"8800-353";"Tavira";"Tavira";"Faro";"967568010";;"reservas@authentictavira.com";"www.authentictavira.com";"Região de Turismo do Algarve";"Algarve";"Algarve";"2020-01-15->2020-01-31 Ano em causa:2020, 2020-03-18->2020-04-30 Ano em causa:2020, 2020-04-30->2020-05-30 Ano em causa:2020, 2020-05-31->2020-06-14 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"COMMON FEELING LDA";;"2019";"Sim";"Não"
"Empreendimento de Turismo de Habitação";"8811";"Regina - Quinta São Francisco Rural Resort";"Regina Hotel Group";;"Classificado em auditoria";"14";"8";"1";"Caminho Paínhas - lugar de Romãe";"4925-549";"Outeiro Vct";"Viana do Castelo";"Viana do Castelo";"918053088";;"regina.outeiro.al@gmail.com";"www.reginahotelgroup.com";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"Público";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Sim";;;"Pierpaolo Ciannelli Consultoria Hoteleira Unipessoal, Lda";;"2020";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8810";"Hotel Camões";;"****";"Classificado em auditoria";"78";"40";"1";"Largo Camões 38";"9500-304";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"296209580";;"contabilidade@hotelcamoes.com";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Sim";"30";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Medeiros & Corrreia Lda";;;"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"8809";"Stay Hotel Lisboa Centro Chiado";"Stay Hotels";"****";"Classificado em projeto";"83";"38";"1";"Rua do Crucifixo, 55; 57; 59; 61";"1100-182";"Lisboa";"Lisboa";"Lisboa";"211164170";;"lisboachiado@stayhotels.pt";"www.stayhotels.pt";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"2020-04-01->2020-06-03 Ano em causa:2020, ";"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"JUST STAY HOTELS S A";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"8805";"Quinta da Espada";"Quinta da Espada";;"Classificado em auditoria";"16";"8";"8";"Quinta da Espada - Estrada de Arraiolos";"7000-999";"Évora";"Évora";"Évora";"917334745";;"isabelcabral@quintadaespada.pt";"www.quintadaespada.pt";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Sim";"---";"0";"Sim";"15";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"QUINTA ESPADA SOC AGRO TURISTICA LDA";;"1993";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"8804";"Casa de Santa Bárbara (Cinfães)";"Casa de Santa Bárbara (Cinfães)";;"Classificado em auditoria";"14";"7";"0";"Rua Conselheiro Martins de Carvalho - Quinta da Santa Bárbara, Sequeiro Longo";"4690-032";"Cinfães";"Cinfães";"Viseu";"963892020";;"casasantabarbara.cinfaes@gmail.com";"https://g.page/casa-santa-barbara-cinfaes?share";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"F CARVALHO JUNIOR LDA";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"8797";"Vila Coura";"Vila Coura";;"Classificado em projeto";"14";"8";"0";"Rua Dona Eduarda Matos, nº 607";"4600-789";"Vila Caiz";"Amarante";"Porto";"917394565";;"geral@vilacoura.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"HAPPY GUEST - ALOJAMENTOS TURISTICOS LDA";;"2020";"Sim";"Não"
"Apartamento Turístico";"8796";"S. Bento Residences";;"****";"Classificado em auditoria";"32";"16";"1";"Av. Dom Afonso Henriques, 200";"4000-013";"Porto";"Porto";"Porto";"227662770";;"info@sbentoresidences.com";"www.sbentoresidences.com";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"NQI São Bento Residences Lda";;"2020";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8795";"Terrace Serra Hotel";"Terrace Serra Hotel";"***";"Classificado em projeto";"32";"18";"2";"Estrada da Ponte Pedrinha, 33 - sitio casal dois";"6200-738";"Tortosendo";"Covilhã";"Castelo Branco";"275954758";;"paulo@terraceserra.pt";"www.terraceserra.pt";"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"1";"Sim";"100";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"TOMAS & MARIA - RESTAURANTE & RESIDENCE LDA";;"2020";"Sim";"Não"
